materials_glazing_id,source,type,material_type,id,description,unit,province_state,city,year,material_cost,labour_cost,material_mult,labour_mult,op_mult,U_W_per_m2-K,fenestration_type,fenestration_assembly_context,fenestration_number_of_panes,fenestration_frame_type,fenestration_divider_type,fenestration_tint,fenestration_gas_fill,fenestration_low_emissivity_coating,solar_heat_gain_coefficient,visible_transmittance,comments,quantity
1,rs-means,Assembly,glazing,240001,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",ft2,,,,,,0.043,0.043,0.043,2.4,FixedWindow,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $652 and area is 23.18ft2 - Ea. To S.F. is =652/23.18 =28.12$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$28/ft2,1.0
2,rs-means,Assembly,glazing,240002,"6' x 7' aluminum patio, tempered glass, zero frame thermal break",ft2,,,,,,1.0,1.0,1.0,2.4,GlazedDoor,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.65,0.7,"base was without thermal break, no cost change",1.0
3,rs-means,Assembly,glazing,240003,"entrance, door 5'x7', opening 12'x7'-6', electric operator, zero frame thermal break",ft2,,,,,,1.0,1.0,1.0,2.4,GlazedDoor,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.65,0.7,"base was without thermal break, no cost change",1.0
4,rs-means,Assembly,glazing,240004,"fixed mall front panels, aluminum finish 48' x 9' opening, zero frame thermal break",ft2,,,,,,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,2.4,FixedWindow,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,,1.0
5,rs-means,Assembly,glazing,240005,"aluminum window: stock 5'x3' including framing and insulated glazing, zero frame thermal break",ft2,,,,,,1.0,1.0,1.0,2.4,OperableWindow,Manufactured,Double Pane,Metal Framing,"Between Panes >= 7/16""",Clear,Argon,1.0,0.55,0.61,,1.0
6,rs-means,Assembly,glazing,240001,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",ft2,,,,,,0.043,0.043,0.043,2.4,FixedWindow,Manufactured,Double Pane,Non-Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $652 and area is 23.18ft2 - Ea. To S.F. is =652/23.18 =28.12$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$28/ft2,1.0
7,rs-means,Assembly,glazing,240006,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs, zero frame thermal break",ft2,,,,,,1.0,1.0,1.0,2.4,OperableWindow,Manufactured,Double Pane,Non-Metal Framing,"Between Panes >= 7/16""",Clear,Argon,1.0,0.55,0.61,Thermal break always included in cost,1.0
8,rs-means,Assembly,glazing,240001,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",ft2,,,,,,0.043,0.043,0.043,2.4,FixedWindow,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $652 and area is 23.18ft2 - Ea. To S.F. is =652/23.18 =28.12$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$28/ft2,1.0
9,rs-means,Assembly,glazing,240007,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",ft2,,,,,,0.043,0.043,0.043,2.2,FixedWindow,Manufactured,Double Pane,Metal Framing with Thermal Break,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $782 and area is 23.18ft2 - Ea. To S.F. is =782/23.18 =33.7$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$33/ft2,1.0
10,rs-means,Assembly,glazing,240002,"6' x 7' aluminum patio, tempered glass",ft2,,,,,,1.0,1.0,1.0,2.2,GlazedDoor,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.65,0.7,,1.0
